age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
2.141704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.469884527395862506e+00,9.999999999999996669e-01,1.934245201476816889e-01,0.000000000000000000e+00,1.051300641011121151e+01
2.161704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.463925253120114789e+00,9.999999999999996669e-01,1.934361274321048929e-01,0.000000000000000000e+00,1.049158470180524816e+01
2.181704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.457847901424719872e+00,9.999999999999996669e-01,1.934481274774060011e-01,0.000000000000000000e+00,1.047015626628009599e+01
2.201704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.451641939794784619e+00,9.999999999999996669e-01,1.934602199370313580e-01,0.000000000000000000e+00,1.044815203062356801e+01
2.221704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.445298421255293064e+00,9.999999999999996669e-01,1.934726904346643628e-01,0.000000000000000000e+00,1.042545427982513573e+01
2.241704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.438836621441028640e+00,9.999999999999996669e-01,1.934852895875330825e-01,0.000000000000000000e+00,1.040236474212325923e+01
2.261704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.432245215067156963e+00,9.999999999999996669e-01,1.934983539831026389e-01,0.000000000000000000e+00,1.037875951890189619e+01
2.281704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.425541325964346129e+00,9.999999999999996669e-01,1.935116274434301731e-01,0.000000000000000000e+00,1.035494387188837528e+01
2.301704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.418711703549343284e+00,9.999999999999996669e-01,1.935251156311580678e-01,0.000000000000000000e+00,1.033038471992570351e+01
2.321704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.411712722824978172e+00,9.999999999999996669e-01,1.935388196788148663e-01,0.000000000000000000e+00,1.030549702145008517e+01
2.341704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.404561620874764216e+00,9.999999999999996669e-01,1.935527939477677539e-01,0.000000000000000000e+00,1.028043504949149245e+01
2.361704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.397245260368297437e+00,9.999999999999996669e-01,1.935673546399691580e-01,0.000000000000000000e+00,1.025471057102085837e+01
2.381704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.389746766631180463e+00,9.999999999999996669e-01,1.935822251919635528e-01,0.000000000000000000e+00,1.022808321819293553e+01
2.401704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.382077940610204614e+00,9.999999999999996669e-01,1.935974486398332473e-01,0.000000000000000000e+00,1.020064588099390335e+01
2.421704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.374188022378762142e+00,9.999999999999996669e-01,1.936130634895467106e-01,0.000000000000000000e+00,1.017257348977326359e+01
2.441704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.366146390631723051e+00,9.999999999999996669e-01,1.936291037169584339e-01,0.000000000000000000e+00,1.014395345307934271e+01
2.461704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.357907042062107550e+00,9.999999999999996669e-01,1.936453323971097096e-01,0.000000000000000000e+00,1.011474742349770040e+01
